,epoch,loss_mean,loss_std,proposal_width,acceptance_rate,walltime
46,46,0.5098903604263904,0.16496798714382724,"tensor(0.586251, device='cuda:0')","tensor(0.491699, device='cuda:0')",0.8636503140005516
47,47,0.5003399974791551,0.1640767690687538,"tensor(0.583950, device='cuda:0')","tensor(0.506592, device='cuda:0')",0.8624605269978929
48,48,0.489322088743422,0.1658541015241043,"tensor(0.582450, device='cuda:0')","tensor(0.495850, device='cuda:0')",0.8486221060011303
49,49,0.47480490344824067,0.1601733402952639,"tensor(0.583983, device='cuda:0')","tensor(0.496826, device='cuda:0')",0.8492578890000004
50,50,0.4677428638258636,0.1605880853240723,"tensor(0.597856, device='cuda:0')","tensor(0.499512, device='cuda:0')",0.8429977589985356
51,51,0.46125259601009067,0.15681070406074046,"tensor(0.576796, device='cuda:0')","tensor(0.484863, device='cuda:0')",0.8463219160003064
52,52,0.4526832732127573,0.158040024974302,"tensor(0.614983, device='cuda:0')","tensor(0.512207, device='cuda:0')",0.852500647000852
53,53,0.4447097045623861,0.15168911524119652,"tensor(0.598108, device='cuda:0')","tensor(0.498047, device='cuda:0')",0.8726368240022566
54,54,0.4345270127289247,0.1515671943283603,"tensor(0.622856, device='cuda:0')","tensor(0.511963, device='cuda:0')",0.8684522250005102
55,55,0.42759901218103635,0.14996074055008074,"tensor(0.600431, device='cuda:0')","tensor(0.484863, device='cuda:0')",0.8486779419981758
56,56,0.4142639311669185,0.1495712202788533,"tensor(0.613327, device='cuda:0')","tensor(0.498047, device='cuda:0')",0.8540161339988117
57,57,0.41408232793838984,0.146418080791833,"tensor(0.617481, device='cuda:0')","tensor(0.510254, device='cuda:0')",0.91316348500186
58,58,0.4014168163750276,0.14453343799451993,"tensor(0.602854, device='cuda:0')","tensor(0.501709, device='cuda:0')",0.8493347399999038
59,59,0.4020727761375909,0.14215476306508437,"tensor(0.587495, device='cuda:0')","tensor(0.477051, device='cuda:0')",0.8501796650016331
60,60,0.38979475200579283,0.13924378797432208,"tensor(0.612995, device='cuda:0')","tensor(0.496094, device='cuda:0')",0.8446524060018419
61,61,0.3860643288962745,0.13626436431647632,"tensor(0.609844, device='cuda:0')","tensor(0.500732, device='cuda:0')",0.8524454660000629
62,62,0.3778455751850637,0.1350411415665716,"tensor(0.596594, device='cuda:0')","tensor(0.495361, device='cuda:0')",0.8454232290023356
63,63,0.36715056657543166,0.13238906781312784,"tensor(0.627613, device='cuda:0')","tensor(0.501465, device='cuda:0')",0.8573974320024718
64,64,0.3631470798052977,0.12948091587344504,"tensor(0.612824, device='cuda:0')","tensor(0.506592, device='cuda:0')",0.8671743080012675
65,65,0.35414686312400623,0.1280288483509261,"tensor(0.607547, device='cuda:0')","tensor(0.500244, device='cuda:0')",0.8635527480000746
66,66,0.35262529429774725,0.1257855397477817,"tensor(0.637149, device='cuda:0')","tensor(0.525146, device='cuda:0')",0.8349841460003518
67,67,0.34152760921592407,0.12374170940451686,"tensor(0.624784, device='cuda:0')","tensor(0.508057, device='cuda:0')",0.8353040180008975
68,68,0.33592004515505275,0.12275266126537639,"tensor(0.619164, device='cuda:0')","tensor(0.503906, device='cuda:0')",0.850430022997898
69,69,0.3290133355345789,0.11970075644987566,"tensor(0.618751, device='cuda:0')","tensor(0.495605, device='cuda:0')",0.8381340519990772
70,70,0.32496824986846073,0.11825210546098949,"tensor(0.618309, device='cuda:0')","tensor(0.503174, device='cuda:0')",0.8342373740015319
71,71,0.32143933971204697,0.115754223169073,"tensor(0.641528, device='cuda:0')","tensor(0.510742, device='cuda:0')",0.8326663740008371
72,72,0.3149799452418955,0.11390008867943796,"tensor(0.633427, device='cuda:0')","tensor(0.510010, device='cuda:0')",0.8319322940005804
73,73,0.3057623799592212,0.11218509046949525,"tensor(0.623510, device='cuda:0')","tensor(0.492920, device='cuda:0')",0.8476324300027045
74,74,0.30341503907113854,0.11204580465696494,"tensor(0.627981, device='cuda:0')","tensor(0.501953, device='cuda:0')",0.8284005780005828
75,75,0.298313615468033,0.10968238395676616,"tensor(0.607728, device='cuda:0')","tensor(0.500977, device='cuda:0')",0.8370188409971888
76,76,0.28866190989256235,0.10878367974564444,"tensor(0.624542, device='cuda:0')","tensor(0.498291, device='cuda:0')",0.8472455100018124
77,77,0.2854173851191792,0.10440829778828262,"tensor(0.628322, device='cuda:0')","tensor(0.506836, device='cuda:0')",0.8474816270027077
78,78,0.2820998972441693,0.10359345235704215,"tensor(0.620119, device='cuda:0')","tensor(0.501953, device='cuda:0')",0.8294165709994559
79,79,0.27752410456743837,0.10064830188581386,"tensor(0.617772, device='cuda:0')","tensor(0.504395, device='cuda:0')",0.8301694600013434
80,80,0.27035392313438,0.09812541794919069,"tensor(0.623564, device='cuda:0')","tensor(0.490967, device='cuda:0')",0.8319972489989595
81,81,0.2674679257906348,0.09706366969914576,"tensor(0.636856, device='cuda:0')","tensor(0.506104, device='cuda:0')",0.8420478999978513
82,82,0.26039259350575117,0.09525209964770649,"tensor(0.622564, device='cuda:0')","tensor(0.489014, device='cuda:0')",0.8491791289998218
83,83,0.25665484691119156,0.09329374321766061,"tensor(0.643070, device='cuda:0')","tensor(0.506592, device='cuda:0')",0.8295287299988559
84,84,0.2533548453172879,0.09265854681869476,"tensor(0.619507, device='cuda:0')","tensor(0.500244, device='cuda:0')",0.8429357960012567
85,85,0.2465599370428819,0.09225247227213118,"tensor(0.640482, device='cuda:0')","tensor(0.496338, device='cuda:0')",0.8462403720004659
86,86,0.24265392136988367,0.08914724181749584,"tensor(0.609854, device='cuda:0')","tensor(0.489258, device='cuda:0')",0.8319359019988042
87,87,0.23713436027638818,0.08832844142336611,"tensor(0.618253, device='cuda:0')","tensor(0.506836, device='cuda:0')",0.8253893959990819
88,88,0.23366518701149355,0.08705259590900301,"tensor(0.606252, device='cuda:0')","tensor(0.489990, device='cuda:0')",0.8245528760016896
89,89,0.22859088532222138,0.08561451799995351,"tensor(0.634813, device='cuda:0')","tensor(0.503662, device='cuda:0')",0.8419863440030895
90,90,0.22282595456582047,0.08324987365464832,"tensor(0.638549, device='cuda:0')","tensor(0.496338, device='cuda:0')",0.8293349349987693
91,91,0.2226049169830321,0.0812950879991057,"tensor(0.626103, device='cuda:0')","tensor(0.505371, device='cuda:0')",0.8286105059996771
92,92,0.21695967540265698,0.08074845557046446,"tensor(0.629415, device='cuda:0')","tensor(0.500244, device='cuda:0')",0.8237175889989885
93,93,0.2136944538759106,0.07963145934697743,"tensor(0.627154, device='cuda:0')","tensor(0.497070, device='cuda:0')",0.8260330830016755
94,94,0.2063455797099611,0.07750904399878884,"tensor(0.631889, device='cuda:0')","tensor(0.495850, device='cuda:0')",0.8242004829990037
95,95,0.20271951484811018,0.07661396014211631,"tensor(0.632448, device='cuda:0')","tensor(0.503418, device='cuda:0')",0.8241827169986209
96,96,0.1996414504253781,0.07432252884636976,"tensor(0.624203, device='cuda:0')","tensor(0.501953, device='cuda:0')",0.8251967479991436
97,97,0.1966608929704765,0.07266226532290888,"tensor(0.629470, device='cuda:0')","tensor(0.500000, device='cuda:0')",0.8244037219992606
98,98,0.19405056056604808,0.07119682503524807,"tensor(0.623939, device='cuda:0')","tensor(0.490234, device='cuda:0')",0.823702362999029
99,99,0.1903079851532007,0.07044147461815711,"tensor(0.639064, device='cuda:0')","tensor(0.508301, device='cuda:0')",0.8222680510007194
100,100,0.18561482144033647,0.06871499002634263,"tensor(0.628656, device='cuda:0')","tensor(0.517090, device='cuda:0')",0.8236710189994483
101,101,0.1810660847825315,0.06757373509942102,"tensor(0.611734, device='cuda:0')","tensor(0.484863, device='cuda:0')",0.8246842919979827
102,102,0.17781200402823408,0.06664719103187634,"tensor(0.644744, device='cuda:0')","tensor(0.502197, device='cuda:0')",0.825990579000063
103,103,0.17522991801574017,0.06507046631569698,"tensor(0.625284, device='cuda:0')","tensor(0.499268, device='cuda:0')",0.8380161210006918
104,104,0.1720942814117785,0.06433474643754034,"tensor(0.630185, device='cuda:0')","tensor(0.507812, device='cuda:0')",0.8127205669989053
105,105,0.1684643336938969,0.061986211161102374,"tensor(0.634439, device='cuda:0')","tensor(0.503906, device='cuda:0')",0.8091398399992613
106,106,0.16397891043881574,0.061671233683494676,"tensor(0.651110, device='cuda:0')","tensor(0.506592, device='cuda:0')",0.8120443740008341
107,107,0.16073992341775964,0.06064741441472936,"tensor(0.646057, device='cuda:0')","tensor(0.503418, device='cuda:0')",0.813711721002619
108,108,0.15973395785488909,0.058707821390909215,"tensor(0.633257, device='cuda:0')","tensor(0.503662, device='cuda:0')",0.8591996779978217
109,109,0.15350989618974423,0.05790698597893884,"tensor(0.628419, device='cuda:0')","tensor(0.505371, device='cuda:0')",0.8620734699979948
110,110,0.1512826555803469,0.056816316946990776,"tensor(0.641463, device='cuda:0')","tensor(0.513184, device='cuda:0')",0.8553919119985949
111,111,0.14941022782080596,0.05448814824526608,"tensor(0.641447, device='cuda:0')","tensor(0.498779, device='cuda:0')",0.8494665910002368
